address;victim_fanin;drain_txs;btc_from_victims;first_seen;last_seen
bc1q3ap42dnm9ku0hvpj5vc0sv2tvyze0y6uppy3z5;62;3;1.95096127;31.07.2026;31.07.2026
bc1qweffzt667uecc7zfdtzdvhcwwqu49nk9tkw0qz;61;8;1.36878451;27.03.2022;08.05.2025
bc1q53g3lnjchxr3sj6tv7edcmdqz5hxkaqektc8xr;60;57;6.24544765;31.03.2024;08.10.2024
bc1q8fmmcvjvh5qtzhgckmqzz8vkd5yl62g6t32xa9;60;1;1.48987424;31.05.2025;31.05.2025
33PsmuYNWp7xmxwBCDEWeD8Gtmn2kZZ9ae;60;88;0.8153477;02.12.2021;21.05.2022
3Coo7V3F8oMY9ZZGx7XXBLSKvbbqxBgDzX;60;1;0.376;27.07.2022;27.07.2022
bc1qkhgf3n6532m52s2hm5k9pn02zdpqqnq03s802k;57;1;2.9174511;01.08.2026;01.08.2026
bc1q35hnp922q3zmlc48f56c82jez7qj0f2wuvpyae;57;1;2.16222455;10.03.2023;10.03.2023
bc1qhecykqufrjf200ulf0z7hpu94u9wy035xee3rk;57;1;0.49996718;01.11.2023;01.11.2023
bc1q36qfn2wmyw9s4fg8smyaplugvra00cs4skcx9s;55;1;0.99891858;31.07.2026;31.07.2026
bc1qg2d70h6f902wjmlwcxmf36tswzqqtzh9nmp7ws;55;1;0.05483591;08.09.2022;08.09.2022
3B9fBeEGhwq4BEVexpzjsTwdBZSaRZfwXx;54;10;0.456;20.05.2024;08.01.2025
bc1qn344r764kmuyfk9hqmqvqf58s470mggdch9l29;53;1;2.05748002;31.07.2026;31.07.2026
bc1qzp20lud4uxj0fulr77lhlfawgpwpkq7n2qu0p0;53;1;1.0;31.07.2026;31.07.2026
bc1qxh5cj4sa6q7wkuetd4kdytfqy40zcyft8j7qny;53;1;0.85193422;31.07.2026;31.07.2026
bc1q4etckmwgkjlayvypw6a6t5hmuttrjn9hgslhu8;53;1;0.51600448;30.11.2023;30.11.2023
bc1qakn44zn7s2d4ngm95qj77nn9agzjhq74wv0yru;52;1;3.11364433;05.02.2026;05.02.2026
bc1qfddkkvxq6tm8yra2luggn92f64nt5ld74l8qp3;52;52;2.20769543;16.03.2024;31.07.2026
UNKNOWN:00206772b15ee6753137b642e0459eefb1f05ada;52;1;0.51698014;30.07.2026;30.07.2026
bc1qn7ddwcmt4z7j5klehnw3tgfvm54hdnmc2n32m2;51;2;5.23414243;31.07.2026;31.07.2026
3MHcpuTasUmSgHf69NQREg9yKY73foUgo9;51;14;0.49738257;06.05.2023;05.08.2025
bc1q4626d9knltp3eeuwmfhuqh4ez3py4rdq9nsck8;50;1;5.39099821;31.07.2026;31.07.2026
bc1q6gj06ant3y4v85p2cvk40v7turkf7jjysahfwl;50;1;1.78242408;31.07.2026;31.07.2026
bc1qukac5ytjykj3tvvneuu4lrjjgxgx35jwksg752;50;1;1.49626656;31.07.2026;31.07.2026
bc1qf2my39y2lfgp2pylnhu8q2xktqumlpjy2fur4d;50;14;0.27237486;01.08.2026;01.08.2026
17EXEXq4XfqzngpZmrEQ4iN3MX1PQ4pgN7;50;42;0.1363253;17.06.2023;09.09.2024
UNKNOWN:0020aee2dbeb4dc760df5085fe42070932f2e958;49;1;8.95983627;26.10.2022;26.10.2022
bc1qfhjz2lfww4a3m7fync5vuzf5t5fvj9kjl0fm4p;49;1;0.70326336;15.06.2022;15.06.2022
3LY6WfeqPSguVH56T8ndJE8VduDkDtuQMo;48;1;18.7515;09.03.2022;09.03.2022
bc1qutwp3xl07fdsy4lchnfmds650q2phr50h0jeve;48;1;2.44793413;31.07.2026;31.07.2026
bc1qjqcf7plm68ydqpkkgp68pz23xsrevuwvxa65e8;48;1;0.5538;30.07.2026;30.07.2026
UNKNOWN:0020e8ea803e4f23addadd6b00f56f282bf3648c;47;1;1.0;31.07.2026;31.07.2026
bc1q8hadyatt9x5eaq9x8u8749f34f200lx96s6yl0;47;1;0.9935;31.07.2026;31.07.2026
3Qpo8EsA7krcXSu52PLjsU8bLWT43iiVNH;47;46;0.581285;20.05.2022;28.04.2023
bc1qdm84ex8g3yyxwkv0pqzcw6kcgalc2h0u4f8cpn;46;2;апр.41;01.02.2026;01.02.2026
bc1q9gh4wxtd29hz3fxlmtw7su08cux6l8z4txlg2t;46;1;01.янв;13.07.2023;13.07.2023
bc1q2gq2wackr6xmpm79zthsvgp8ylendprkdy6zfl;45;30;12.31923034;05.06.2023;19.01.2024
bc1qkjtft8jer4mxqms5c5whrvla6us5n4tgphdv08;45;1;4.01385192;31.07.2026;31.07.2026
UNKNOWN:002004a143a2d1774c257919b893219d5fdfa921;45;1;01.май;01.06.2023;01.06.2023
bc1qvgkz3muwt2c2fuv88m7ce2a06t6yw2jgghugug;43;1;2.99938642;26.04.2023;26.04.2023
bc1qrnehtyhah7s6el4wnyvrvnf8t2f53k3thyj5k3;43;43;2.62640811;15.05.2022;01.03.2024
3QLYThaa5E23xnBBVC3DjSHaAp7BreB7gu;43;28;1.23062738;08.10.2024;02.12.2025
UNKNOWN:002033a5efae96a86bd905671782fca10ad86a4d;43;4;0.56600444;31.07.2026;31.07.2026
bc1qe8e808hnp76vgvnvs2njzyg72ycr2sm6y794cz;43;1;0.24657593;31.07.2026;31.07.2026
bc1qrj0zfm2aar9088sjy802yzvzrw3w9f7gzt6fgw;40;1;8.17666333;15.01.2025;15.01.2025
bc1qyn8dyxw7ycacwufy9n6ghd72pr5n9uacgcufne;40;1;3.6905819;16.04.2024;16.04.2024
3QPBN1JeZu8GpvZzRW5MY5G11z77jk7u84;40;3;1.45866148;18.05.2022;21.11.2024
bc1qd3hhp9jcugz2v9nr97epkc0haj27qtgvw0ggdf;40;1;0.31342559;31.07.2026;31.07.2026
3Pf8NVn4XdPmKzHfYLBk51RgESwq9rsGzk;39;6;3.27063729;17.10.2021;13.02.2022
bc1qmzu3j8kmd2h5acfacz83taer9rwv7dz7ku02zr;39;1;2.16157572;31.07.2026;31.07.2026
bc1q0upe33eaykpcek9tc6xhv9rn89gzz7v2vnlmv2;39;1;1.0;25.01.2024;25.01.2024
bc1q3ju3magchs784jqjj6fdud3k8eq9q4msv3x0gl;39;1;0.1029919;12.06.2023;12.06.2023
1FZzA4kPgwvN3cCTEntiPgm2Jwq4U4Zrgt;39;12;0.03137155;31.08.2022;17.08.2023
bc1qkunkmfnq2ruzax4jdcc8h5kln0h2crcgmnypj9;39;1;0.02;08.12.2022;08.12.2022
UNKNOWN:0020510a6ebe34361ab2da2bf2b0adfedbc10f18;38;1;3.0;01.06.2023;01.06.2023
UNKNOWN:0020d8de345ccdf8eae80be12b506e9da9f166cc;38;1;1.0;31.07.2026;31.07.2026
bc1qpr0t2jlcd023gfyklwuc20kajvzx23e2vhs04m;38;1;0.92256025;24.07.2023;24.07.2023
bc1qrzj7q5ld5csywa4fpguk2l4ly8qt5ysfv48npc;38;1;0.3848097;01.08.2026;01.08.2026
3AbexHkGRMRLR9nrK4oUEsMvYeYxN3MahN;37;1;1.08507506;31.07.2026;31.07.2026
3CNbfKR2FHbuBL2kbpnU45yDrcgr3RwygP;36;3;3.84807428;02.06.2026;02.06.2026
UNKNOWN:0020bd2bbb4aaea2c6edaac2720c3e7fa6fec2df;36;5;1.22722438;31.07.2026;31.07.2026
3FZk7A1qfwyxDUnQHu6cDFH9F6s7mvHgDr;36;47;0.18469833;16.12.2021;23.06.2022
bc1qca9lyagdk6h0hdl3wzug4qfa8266jtu2f2c78s;35;1;4.99213589;31.07.2026;31.07.2026
bc1qk2kaf65g29n8ew8nr0hzw75vf8cs4qqlp6zkc2;35;1;1.29342693;31.07.2026;31.07.2026
bc1qd23rpf970r5gxac9hmptl5gwuppg2asfwrrc2y;35;1;0.995002;31.07.2026;31.07.2026
bc1q42gukfl2tlfp6aqvmu3jzcdqg8zec95cdqwzlt;35;1;0.69137569;31.07.2026;31.07.2026
14TQvxEMan2D2U55qU4is9B2GiYVxFCz1H;35;1;0.50420539;21.11.2025;21.11.2025
3BeGmivNHPgWgbRZ6Kxmgfz3DKTkw43cYA;34;5;0.95647777;05.11.2024;08.05.2025
17rRzE7sd4pHGgpFQCqt5GUtHFdKAL2Ae4;34;3;0.83520635;28.02.2024;10.10.2025
bc1qly2nmtpfhdqnz6xjfnd6wyr2ypkvte3d3g8lwp;34;1;0.19549131;31.07.2026;31.07.2026
bc1q7t34wut5zewgc9275yst043as63j8zjn2g77ny;33;1;0.50990646;31.07.2026;31.07.2026
bc1qffarpe0k987w0azdpp2jzj90n7jp370ptf70xd;33;1;0.33165679;31.07.2026;31.07.2026
bc1q2ky7r4pj5aya3hahz64p2am3eppq2ggafc8639;32;24;2.14600476;21.01.2026;22.06.2026
bc1qk72wezenry3r5txj9853yzeq963ja6dqyrdddn;32;1;1.99493872;31.07.2026;31.07.2026
1HQAk7HzPfSnUVyCGThX8SwpM1jTvSfVD9;32;14;1.55884338;31.01.2022;01.04.2022
3NHttf8NbKJpf1Nk2JbgS8D68DuyXxreg5;32;7;0.94797105;18.09.2022;22.01.2023
bc1q3jkrgkevny69y4xnv7wlwgtgt0amh5gfxhxylj;31;1;6.0;20.06.2023;20.06.2023
UNKNOWN:002070f85d2fe1922b845aee3cd6827a0e999012;31;1;1.30593056;01.08.2026;01.08.2026
bc1quznm5fulupvyegntzpvkmq5g8gwre06gzra7pw;31;1;1.19611441;23.06.2022;23.06.2022
3JkhPUmvY1RQb4prk5VLkK44xRgxMafpJV;31;27;0.97818912;04.09.2022;09.09.2023
3CG2uyZWy6MRtvBGasyZdXFoxEbdjW6bYo;31;8;0.879;07.11.2022;06.02.2025
bc1qnwe64a4ar3jx766y3j9vkxqtdqsvum6dmcz2w6;31;1;0.21301413;31.07.2026;31.07.2026
bc1qc0xwwrs2xuheu4ayg7japk880s56k0rxfnlk9f;31;1;0.05766151;05.02.2022;05.02.2022
bc1q5zfqn4lpm246p0l846p3y49avctp56wyst23kc;30;1;5.12529502;01.11.2025;01.11.2025
3289xRiVZmoHXsjCvf5xJxScA1jtaLt5Xb;30;2;1.4189451;31.07.2026;31.07.2026
bc1qu55wn4kc28uhumrrc64e4vxx2prrd66f92tpu4;30;24;0.54876635;09.02.2025;16.10.2025
1GiE6xoV4Gg3WmjttR4h8nHAT5bEaWMm4m;29;22;0.92802991;11.02.2024;24.11.2025
bc1qhry7zf6xlz5udj53dv0ul87wv4fpwerpe2ccaf;29;1;0.62065;25.12.2021;25.12.2021
UNKNOWN:00209fb288a7b88f93ddf439d897ea099d4250ee;29;1;0.60740859;29.10.2024;29.10.2024
3Q9VUuuU2rQ6QLoaGPBBqAaxCdVW4HPz6X;29;1;0.19581853;26.02.2024;26.02.2024
bc1qe5pfpr46j0j3a58xvcqe02yyxn42xtjfds2nj3;29;1;0.0895;15.10.2024;15.10.2024
3G8NmqN1RZ97T53wKxEdCaMS8PaFyyWk3Z;28;11;4.67111111;06.02.2024;15.12.2025
bc1qnumrwsj3qrnn0czsfqr8erlkfkpkup3k6dkua7;28;1;2.96407311;30.07.2026;30.07.2026
bc1qjmz8ah39nwpngm8vjx206ms2steujkm553eu62;28;1;2.01946044;31.07.2026;31.07.2026
bc1qfjdslge6epa85jdmrs8zulpafaueams765664z;28;1;0.895764;21.01.2024;21.01.2024
bc1q8ukse09hcre0g8fww7l2l8xn3hyag87nl99xj6;28;1;0.61848512;31.07.2026;31.07.2026
355u7VNVMERR9VxqgpCs4Wwfm6P6PE1m1e;28;5;0.3667274;31.01.2022;07.06.2022
34FvazLNn5PNm4c8S2rn6fMezdFpB8rDfa;28;26;0.36183315;01.12.2021;26.07.2022
bc1qr5t4chxecm8fxvrph8hf8qhmtm4k375k8mlrc2;28;1;0.20251345;31.07.2026;31.07.2026
1PEP6GtjNfh3PrwWGHeJWnp1KNFMsT1sT2;28;10;0.03482887;13.11.2022;25.04.2023
bc1qwddcxt2a0tdm6x9aqfg03n5dm7mx9xkcwaaffr;27;1;9.74152967;31.07.2026;31.07.2026
37RjRyiPqpq2c5wkUCWej4diCw9hR7Afrq;27;2;3.74956251;04.04.2024;04.04.2024
bc1qgda2yf6n4yg7ur3dxxc3gta637j002mvyvt40t;27;1;2.99947941;14.03.2023;14.03.2023
bc1qhyz74kl6xygka9w8aqsnuj7hddt29wh3xy2a8p;27;24;1.63008171;09.04.2026;01.08.2026
bc1qmy32ghmed94afey2j8dw5gs9xr5m2rks47szc6;27;1;1.10390232;31.07.2026;31.07.2026
3N3wDVfxbefrzokzw9DmZAJniHouiipjDL;27;2;0.06463713;16.07.2023;16.07.2023
bc1qrzqr3etgy3xglypupxszhv33e72eacuq603p6n;26;3;4.72222281;07.10.2024;20.07.2025
bc1q3tsm5nvjdr4jtxaaj8ael2pvxc7pfuelma7kdx;26;4;2.29799616;31.07.2026;31.07.2026
bc1qg9vvj5lmvyvuhuwewtaw5xztrnl6a75umpx60d;26;1;1.06012313;02.06.2025;02.06.2025
bc1quk2n8gcu65xlx2pa3z7csy2w78nxmc60w0wy2a;26;1;0.97088335;31.07.2026;31.07.2026
bc1qrlzaj0522uudh4yqkuc4gu03uf0wxlcnm5zkgw;26;1;0.58760641;31.07.2026;31.07.2026
bc1qp7dzqt3pvy8aggd4na8jrdr69pts8xat2w7aca;26;1;0.58742657;31.07.2026;31.07.2026
bc1qv88j55akk52vydk4zv7nuppx4dh389jejem2ak;26;1;0.37823932;11.10.2023;11.10.2023
bc1q2hls762rdm0z402shgvmdzfaxsy45srxs5qmjn;26;1;0.37769992;31.07.2026;31.07.2026
bc1qpxry86r25z2z8ra4ldwx4ezq5pyxwmhrukygud;26;1;0.29874051;31.07.2026;31.07.2026
3MV8kAamDDV3c7GZA7h3JUL3GNLDevS6EE;26;1;0.0615359;15.03.2022;15.03.2022
bc1qu6znxw430n3py5ya3dgfasts99vj90sh4mvcla;25;1;22.18937344;31.07.2026;31.07.2026
3PxAMh6ABfnWHgN3NBBSM3S7cC5w1Cimtp;25;9;17.64407544;26.10.2022;11.11.2022
bc1qn6wcssldz6nfv0rz7ry6v44ul2kjex22ayhqkh;25;1;4.22959734;28.02.2022;28.02.2022
bc1qsv3cyp6adve9h0dalpcvw3qn95yr625wll3k6n;25;1;1.87184599;25.03.2023;25.03.2023
bc1qe3zv3zpjpvzemwqgg2vppp6r2unsxj8xhx8zz0;25;1;1.10245124;11.10.2025;11.10.2025
bc1q23jsyrg7nzqjuekphxtfqz7alxetzt6lgy2t94;25;1;0.99122858;16.06.2026;16.06.2026
bc1q4lyp32mrrae4tfp382zy3qwuas34pk76dzqd4j;25;1;0.70396093;31.07.2026;31.07.2026
bc1q69gptc6cmjmpmxkpjrhs960kp5df6avwuufqvx;25;2;0.33153646;31.07.2026;31.07.2026
bc1qzjhkk78ydhr67w8ac8dfunk2txchhtneq5y7t7;25;1;0.27805551;21.03.2023;21.03.2023
bc1q2tcqyhej03c2wuww08f26622dp09w8e6zaevt8;25;1;0.22723781;31.07.2026;31.07.2026
bc1qmaqk3yezrg6t62jsd2a0xvyaq7xt0zcwsp5xaj;24;1;2.0441;31.07.2026;31.07.2026
bc1qu5sf2pvqu6zmzzn87mepufkdyy5j6vxyk23lfv;24;1;0.92170666;18.07.2023;18.07.2023
bc1q3mdvaawcwgs5t58v2dgn9xz4x84ndg7dxv8nkr;24;1;0.32316839;31.07.2026;31.07.2026
bc1p9u3syvrujfpmd2e8qu60r0vynxnkyycsy8w3s04g9kta4rdur3usc2cy02;23;2;5.00070611;19.05.2026;19.05.2026
bc1qdhr9h5yk4u2wvx3zuv9pntn7s344tm6ecj5x0s;23;1;2.44890994;31.07.2026;31.07.2026
bc1qgu3vezzmuw8h30q22mha45nz8a3eyyltnee2gf;23;1;2.18640481;31.07.2026;31.07.2026
bc1q4qxh328ylflfccukgqz6sqegp86mf40xen09sf;23;21;1.37120249;05.08.2025;11.12.2025
12r7o6Rs2s1q5DDHUkhfj6tLhHS5Ayk59G;23;2;01.фев;27.02.2025;27.02.2025
bc1quvs25n4ak8e504mppsmwju7sa455fh85msd8rs;23;1;0.413884;31.07.2026;31.07.2026
bc1qjlttyq5ng73yvnyqpzz02n3kdn3sdyx39ruj78;23;1;0.34041718;31.07.2026;31.07.2026
3FcEE8QKB2LevoCg16zGfo2pUNkLNvSDU8;23;2;0.10000997;18.03.2023;26.05.2025
37q3LXF3LvJx3XVEgrjDSt2BB7Dq1QQGce;22;21;5.40247129;06.01.2024;31.01.2026
1ucMrdj63EE9LdV1mc95uFJfqyJAkNzJX;22;17;3.2849661;20.07.2022;29.09.2023
bc1qejpsrw77xq32jlqz6avpyw68zg4kqqxa7a06ez;22;1;1.90092192;03.05.2024;03.05.2024
bc1q8hnvqym6k2wy4jaaa62h245qwn6jkhk63ywrew;22;1;0.94915739;20.10.2023;20.10.2023
UNKNOWN:00205674d0847dcde48cd1c77922113a6b55fa9b;22;1;0.8014931;10.01.2024;10.01.2024
bc1qpj7sjhvkwwt9hnszmx6c7w8dalvn4qenhw6n4w;22;1;0.580817;31.07.2026;31.07.2026
37ttCJNxth7wDbYYNsQtW6Q8W7pEb8aEfJ;22;22;0.47436966;10.05.2024;02.07.2026
36EFvR4DoEJscMif7eCn9ozaa1MKKv5GhV;22;22;0.30192651;17.12.2023;05.08.2024
bc1qelk9fwxu73pdtn3uznk3c96aajah7wfzqkmv0u;22;1;0.158;31.07.2026;31.07.2026
bc1qtc6l70thqjuctgqfv2eev35q0df8mmc47qctyh;22;4;0.1360936;12.04.2022;14.04.2022
bc1q3jnc0vzmyn3pz8z0klv05sts7vg4xj69p2xukd;21;1;6.40059932;31.07.2026;31.07.2026
3BaCSZSWrjcpuGDVkWVMFF3qqT7ok2WZNw;21;8;5.51431874;27.12.2024;20.11.2025
bc1qg0akwsj455zkx0cdhrvk39h0j5s7vnajwc5dxj;21;1;3.49934108;31.07.2026;31.07.2026
bc1q743ghrde6p832qjy5m7umuajq24ghugzp02vvw;21;1;2.6494281;31.07.2026;31.07.2026
bc1qjcpqul8lpf5j4qapx09ltpdsjwyxlh5dqlqtpp;21;25;1.04091095;18.03.2024;08.10.2024
32q58HYp2z6Shz7xGaZrg1oP39JzyPRANu;21;1;0.33319777;25.07.2022;25.07.2022
bc1qhfm2046xpdgq3573ta43wchu4af778t2a0zylr;21;1;0.26;07.07.2025;07.07.2025
UNKNOWN:0020ceb60af15b3ea749c2858a93ba10e99ac8cf;21;1;0.20906382;10.01.2024;10.01.2024
bc1q56se39k8ka4fhx30etrttdcm2nedatzs4pra4u;21;1;0.20074022;31.07.2026;31.07.2026
3GupAqmieKqHviqYmpAbGk6BKjxDo95XzD;21;14;0.11015637;06.04.2022;17.04.2023
bc1q27chclewaspq4uvkz6l9g5ckwrfxk9dv4a3ker;21;1;0.09882102;06.02.2024;06.02.2024
bc1qflkwy75yv5zcmhv780zjradq0rvnffqqr8sclu;21;17;0.07423077;21.07.2025;07.07.2026
bc1qm6vmrr5xngp3ct6gqfarvvdtlr7gewwqxgteqh;20;1;20.49704416;31.07.2026;31.07.2026
36ojuv1xsiTxeu5n3eP1uCkc5tjowz7LrF;20;1;2.57460757;10.05.2024;10.05.2024
bc1qzcecsm93q7c2wtrvy5eqkfc82nkf408rmxjay6;20;1;2.34976544;31.07.2026;31.07.2026
bc1q8j6sl86m203avm05u9wse9gy60wd79r5epkt2k;20;1;1.90120771;30.07.2026;30.07.2026
bc1qcsckmlu7nqu6x4r9jvp6jlt7klelwhcunhrt24;20;1;1.86994824;30.07.2026;30.07.2026
bc1q0e25d6cn6sky787jfd75q747ra30x33n2za8lu;20;3;0.92351513;26.12.2023;15.01.2024
3PyWRBbN6VHmw51mBsZqS1iUrKWKWGbC5A;20;1;0.77017985;25.03.2024;25.03.2024
bc1q3gszyrsa8caxkml9c7q59xr2an7fmfjzjsvyyh;20;1;0.70432667;31.07.2026;31.07.2026
UNKNOWN:002049aa6a5a1657505f8b371b391e48af4a6c05;20;3;0.58849508;30.09.2025;30.06.2026
3J2b3VdnTieMF7i3E8RbJf5iobBbsvFpqR;20;6;0.3975027;11.11.2024;28.07.2025
bc1qkrjvh5u9kde8xj9z3fgxcx9puusu5rdmf60me0;20;1;0.35596246;31.07.2026;31.07.2026
bc1qyst0fs9m2ge43y84lt05hax57fzvxawcvuu83e;20;1;0.22028;23.04.2023;23.04.2023
3L8pbtowZ8H7Vh7arE8XKruE3VwwSnivzN;20;8;0.20124982;09.11.2022;13.05.2023
3F9V4V5ed3XrMA7Z2TmdekgHFpcNd1BU6c;20;2;0.10433163;16.10.2022;16.10.2022
bc1q6sw9kmdzd7823chqatp2sqa73klgqhvkeua047;20;1;0.08;03.12.2021;03.12.2021
bc1q2wepf2e74a7n2slmtgcny7ejchptx97edu0xn3;20;1;0.01850182;05.04.2024;05.04.2024
UNKNOWN:00207544a67b1175ab32f21970cf8606f1d77c8f;19;2;18.37;13.03.2025;28.03.2025
bc1q8h6z7cplvv720glwpmtcyrvqxaslulr7rz3874;19;1;4.44955757;31.07.2026;31.07.2026
bc1qlsq8aefjdq5kcxk7cee72wkf2pmqj0yd5hjl9c;19;1;2.13786991;01.08.2026;01.08.2026
3K9nh5iXZudtKjWV7ALH82EMEJbyBxuFsz;19;1;2.0;06.06.2023;06.06.2023
UNKNOWN:0020258abd3ba7757eaac0b0675b53a38547abd5;19;1;1.90951226;01.04.2022;01.04.2022
bc1qmw2sxkwsu9ktl7hg56rr8px5hd0tkhedmh33z6;19;1;1.0011574;12.06.2025;12.06.2025
bc1qrvdpcj6a5v7mrupqlxx3j9gelnl58t469x5t6r;19;1;0.54571209;31.07.2026;31.07.2026
UNKNOWN:0020166215aa8e8df40ac64d5794cd073be517cb;19;1;0.51067503;31.07.2026;31.07.2026
bc1qmkmqtk3tqta5qx5cg3f4em3dtanmjpw0yn9p3q;19;1;0.39493706;31.07.2026;31.07.2026
3HvLAGp4zjdwFt7DPh6JnvphRZq7qukY6a;19;15;0.3448384;14.01.2022;22.06.2023
UNKNOWN:00202255faba27628327c2e98c5eb7a9ec3e7a2b;19;1;0.25129968;12.11.2024;12.11.2024
bc1qthuhqd7sccctjkswr0jpv9w2zdlnzytcjz4ucf;19;2;0.18;13.02.2025;01.08.2025
bc1qt285peh4vv40qtvvfvdtrdezww877vgppatrt9;19;1;0.13400014;31.07.2026;31.07.2026
bc1qqdjcmvtuu9tkkz0z547zd54zd8wc39454f5cgv;19;1;0.10336296;12.06.2023;12.06.2023
3PfoJce5VArPMcixgr4siTL3tja3iifTJf;19;1;0.09945251;05.07.2022;05.07.2022
bc1q7tc2ddaq3n72zys349wlrqca0496w6rg6vw9n0;18;1;4.62091526;31.07.2026;31.07.2026
3D2NvQBn6snhgzZ1qgxRAhdg4Ct4KRGiEL;18;1;мар.14;14.03.2024;14.03.2024
12S64Tn5jCg1yzyXgyQRpM9qBrpAE8q5HR;18;6;1.92380847;21.07.2022;17.01.2023
bc1qutv4nym2d54etk2t3meah7lvz0jxe8ns6a4j72;18;1;1.06847764;31.07.2026;31.07.2026
bc1q5uvnkzqd88rh2nfqms39f6ra3cc6y23td9205p;18;1;0.64599428;31.07.2026;31.07.2026
UNKNOWN:0020fe134446ff4414b5452908b9fd3b5363b2a1;18;2;0.5701212;15.05.2026;30.06.2026
bc1qce75mt3qy77czdvl0e52fymxh5uqk7k42clr3m;18;1;0.50060821;31.07.2026;31.07.2026
bc1q3hlggy70x847u79ydax8rxh6cv6rrm4ydtl75j;18;1;0.4992764;31.07.2026;31.07.2026
bc1q7h60rl88e0q43tetqzwplkmwhgg2r3wspk3x3r;18;1;0.47924832;27.03.2022;27.03.2022
bc1qp9udqfsx7wjcle7khgthya63eglsx0qyl9gsfr;18;1;0.40149275;12.06.2023;12.06.2023
bc1qshxrqrwvs7zznkr30hsr50mx802lrf8pf5vyzt;18;1;0.16264744;12.06.2023;12.06.2023
bc1qt0drpm7dzjxcuqwhqfxl6p0rhta4hcelv5ca40;18;1;0.13951612;20.11.2021;20.11.2021
bc1q0lnj0qhw2jzpw47s8cz0rtq49m8chl4khydrlw;18;1;0.04299203;31.07.2026;31.07.2026
1Stex65jhC9x8GD7yzNYr7czqCQjsMH1p;18;5;0.02198077;14.11.2022;20.04.2023
bc1qeztlzynjemsk2sqrv3le3aj99g4pead6uhlc0c;18;1;0.01783608;29.06.2023;29.06.2023
3PZn1Q9mHu6NTjEnVY7UK7NRkrD7rZfDmR;17;7;27.56851451;18.12.2024;31.03.2025
3Pfaqp8FXPWof6gQxVfjxYmDRMiXCzXG1T;17;1;8.02501031;31.07.2026;31.07.2026
1K83ys4QCiYpbaxEPVnWSFThm3SBVWUPyB;17;1;2.09065203;27.08.2023;27.08.2023
