====================================================================================================
COLDCARD Mk3 RNG EXPLOIT — DRAIN TIMELINE ANALYSIS (FULL, 100% COVERAGE)
====================================================================================================
Date: 2026-08-26 19:30
Addresses analyzed: 35,066 (of 35,188 victims)
  Unique drain dates: 1,899
  Total drained (first-drain sum): 10230.95 BTC
  Drain waves (>=10 addr/day, gap<=2d): 368
====================================================================================================

DRAIN WAVES
----------------------------------------------------------------------------------------------------
Wave 1: 2021-05-11 | 13 addresses | 7.08 BTC
Wave 62: 2022-05-27 to 2022-06-01 | 136 addresses | 12.05 BTC
Wave 63: 2022-06-03 | 13 addresses | 1.35 BTC
Wave 64: 2022-06-06 | 12 addresses | 0.59 BTC
Wave 65: 2022-06-11 to 2022-06-15 | 115 addresses | 15.45 BTC
Wave 66: 2022-06-17 to 2022-06-19 | 46 addresses | 16.24 BTC
Wave 67: 2022-06-23 to 2022-06-24 | 56 addresses | 1.61 BTC
Wave 68: 2022-06-28 to 2022-07-09 | 242 addresses | 57.39 BTC
Wave 69: 2022-07-13 | 15 addresses | 3.37 BTC
Wave 70: 2022-07-15 to 2022-07-16 | 38 addresses | 3.45 BTC
Wave 71: 2022-07-19 | 18 addresses | 0.33 BTC
Wave 72: 2022-07-21 | 14 addresses | 12.23 BTC
Wave 73: 2022-07-25 to 2022-07-28 | 142 addresses | 27.39 BTC
Wave 74: 2022-07-30 to 2022-07-31 | 26 addresses | 4.38 BTC
Wave 75: 2022-08-02 | 10 addresses | 0.53 BTC
Wave 76: 2022-08-04 | 20 addresses | 1.53 BTC
Wave 77: 2022-08-10 | 14 addresses | 9.22 BTC
Wave 78: 2022-08-17 | 13 addresses | 1.65 BTC
Wave 79: 2022-08-21 | 11 addresses | 6.39 BTC
Wave 80: 2022-08-23 | 20 addresses | 1.44 BTC
Wave 81: 2022-08-25 to 2022-08-26 | 25 addresses | 3.63 BTC
Wave 82: 2022-08-28 | 19 addresses | 0.91 BTC
Wave 83: 2022-08-30 to 2022-09-01 | 47 addresses | 6.88 BTC
Wave 84: 2022-09-03 to 2022-09-04 | 26 addresses | 2.03 BTC
Wave 85: 2022-09-08 to 2022-09-09 | 89 addresses | 18.77 BTC
Wave 86: 2022-09-12 | 14 addresses | 5.82 BTC
Wave 87: 2022-09-15 | 14 addresses | 12.84 BTC
Wave 88: 2022-09-18 | 14 addresses | 1.34 BTC
Wave 89: 2022-09-22 | 12 addresses | 1.74 BTC
Wave 90: 2022-09-29 | 10 addresses | 0.55 BTC
Wave 91: 2022-10-01 | 13 addresses | 1.20 BTC
Wave 92: 2022-10-06 to 2022-10-07 | 37 addresses | 5.44 BTC
Wave 93: 2022-10-13 | 10 addresses | 0.01 BTC
Wave 94: 2022-10-16 to 2022-10-17 | 39 addresses | 2.41 BTC
Wave 95: 2022-10-19 to 2022-10-20 | 32 addresses | 0.83 BTC
Wave 96: 2022-10-22 | 10 addresses | 36.87 BTC
Wave 97: 2022-10-26 to 2022-10-27 | 86 addresses | 24.86 BTC
Wave 98: 2022-10-30 to 2022-10-31 | 35 addresses | 18.22 BTC
Wave 99: 2022-11-02 to 2022-11-03 | 34 addresses | 33.73 BTC
Wave 100: 2022-11-05 to 2022-11-07 | 50 addresses | 17.79 BTC
Wave 101: 2022-11-09 | 16 addresses | 9.58 BTC
Wave 102: 2022-11-11 | 37 addresses | 8.19 BTC
Wave 103: 2022-11-15 to 2022-11-17 | 51 addresses | 25.93 BTC
Wave 104: 2022-11-21 to 2022-11-23 | 53 addresses | 7.27 BTC
Wave 105: 2022-11-27 to 2022-11-28 | 54 addresses | 12.19 BTC
Wave 106: 2022-12-05 to 2022-12-08 | 97 addresses | 29.38 BTC
Wave 107: 2022-12-17 to 2022-12-20 | 41 addresses | 44.32 BTC
Wave 108: 2022-12-22 | 23 addresses | 6.95 BTC
Wave 109: 2022-12-26 | 13 addresses | 19.06 BTC
Wave 110: 2022-12-29 | 26 addresses | 10.50 BTC
Wave 111: 2022-12-31 | 14 addresses | 1.51 BTC
Wave 112: 2023-01-03 | 12 addresses | 13.21 BTC
Wave 113: 2023-01-05 | 17 addresses | 8.30 BTC
Wave 114: 2023-01-07 to 2023-01-08 | 45 addresses | 3.25 BTC
Wave 115: 2023-01-11 to 2023-01-17 | 123 addresses | 14.16 BTC
Wave 116: 2023-01-22 to 2023-01-23 | 46 addresses | 3.92 BTC
Wave 117: 2023-01-26 | 10 addresses | 0.56 BTC
Wave 118: 2023-01-30 | 28 addresses | 4.39 BTC
Wave 119: 2023-02-04 to 2023-02-06 | 50 addresses | 9.37 BTC
Wave 120: 2023-02-12 | 17 addresses | 0.22 BTC
Wave 121: 2023-02-15 to 2023-02-16 | 33 addresses | 2.12 BTC
Wave 122: 2023-02-18 to 2023-02-19 | 30 addresses | 23.84 BTC
Wave 123: 2023-02-22 | 16 addresses | 32.81 BTC
Wave 124: 2023-02-24 to 2023-02-26 | 58 addresses | 6.11 BTC
Wave 125: 2023-03-03 | 21 addresses | 3.47 BTC
Wave 126: 2023-03-10 | 74 addresses | 8.94 BTC
Wave 127: 2023-03-12 to 2023-03-19 | 174 addresses | 26.10 BTC
Wave 128: 2023-03-21 | 27 addresses | 0.84 BTC
Wave 129: 2023-03-24 to 2023-03-25 | 53 addresses | 5.27 BTC
Wave 130: 2023-04-01 | 18 addresses | 15.36 BTC
Wave 131: 2023-04-06 | 11 addresses | 0.24 BTC
Wave 132: 2023-04-11 | 11 addresses | 4.76 BTC
Wave 133: 2023-04-15 to 2023-04-26 | 279 addresses | 73.59 BTC
Wave 134: 2023-04-28 | 10 addresses | 32.77 BTC
Wave 135: 2023-04-30 | 11 addresses | 3.26 BTC
Wave 136: 2023-05-06 | 13 addresses | 1.30 BTC
Wave 137: 2023-05-12 to 2023-05-13 | 92 addresses | 8.14 BTC
Wave 138: 2023-05-21 | 15 addresses | 0.63 BTC
Wave 139: 2023-05-23 to 2023-05-24 | 33 addresses | 3.93 BTC
Wave 140: 2023-05-31 to 2023-06-01 | 208 addresses | 19.90 BTC
Wave 141: 2023-06-03 to 2023-06-08 | 160 addresses | 25.65 BTC
Wave 142: 2023-06-11 to 2023-06-12 | 251 addresses | 2.96 BTC
Wave 143: 2023-06-14 to 2023-06-16 | 29 addresses | 14.35 BTC
Wave 144: 2023-06-20 to 2023-06-21 | 138 addresses | 18.26 BTC
Wave 145: 2023-06-26 | 23 addresses | 0.45 BTC
Wave 146: 2023-06-29 to 2023-07-02 | 121 addresses | 15.46 BTC
Wave 147: 2023-07-04 | 34 addresses | 0.47 BTC
Wave 148: 2023-07-09 to 2023-07-10 | 45 addresses | 10.02 BTC
Wave 149: 2023-07-13 to 2023-07-16 | 130 addresses | 10.10 BTC
Wave 150: 2023-07-18 to 2023-07-19 | 42 addresses | 34.91 BTC
Wave 151: 2023-07-24 | 51 addresses | 3.17 BTC
Wave 152: 2023-07-29 to 2023-08-01 | 90 addresses | 11.54 BTC
Wave 153: 2023-08-04 to 2023-08-05 | 23 addresses | 15.11 BTC
Wave 154: 2023-08-11 | 19 addresses | 0.29 BTC
Wave 155: 2023-08-14 | 18 addresses | 0.70 BTC
Wave 156: 2023-08-17 to 2023-08-19 | 41 addresses | 15.99 BTC
Wave 157: 2023-08-23 | 20 addresses | 0.63 BTC
Wave 158: 2023-08-25 to 2023-08-27 | 67 addresses | 28.15 BTC
Wave 159: 2023-08-30 | 16 addresses | 10.79 BTC
Wave 160: 2023-09-01 | 12 addresses | 1.21 BTC
Wave 161: 2023-09-13 | 17 addresses | 1.20 BTC
Wave 162: 2023-09-16 | 24 addresses | 0.94 BTC
Wave 163: 2023-09-24 | 10 addresses | 0.14 BTC
Wave 164: 2023-09-30 to 2023-10-02 | 51 addresses | 65.71 BTC
Wave 165: 2023-10-11 to 2023-10-12 | 88 addresses | 9.76 BTC
Wave 166: 2023-10-14 | 16 addresses | 2.14 BTC
Wave 167: 2023-10-19 to 2023-10-20 | 42 addresses | 4.94 BTC
Wave 168: 2023-10-22 | 14 addresses | 0.46 BTC
Wave 169: 2023-10-24 to 2023-10-25 | 38 addresses | 165.33 BTC
Wave 170: 2023-10-28 to 2023-10-30 | 34 addresses | 11.05 BTC
Wave 171: 2023-11-01 to 2023-11-02 | 84 addresses | 9.58 BTC
Wave 172: 2023-11-14 | 33 addresses | 6.78 BTC
Wave 173: 2023-11-20 | 28 addresses | 1.22 BTC
Wave 174: 2023-11-23 to 2023-11-26 | 139 addresses | 10.73 BTC
Wave 175: 2023-11-28 to 2023-12-04 | 217 addresses | 11.13 BTC
Wave 176: 2023-12-06 to 2023-12-09 | 86 addresses | 11.46 BTC
Wave 177: 2023-12-11 | 17 addresses | 3.18 BTC
Wave 178: 2023-12-17 | 11 addresses | 6.27 BTC
Wave 179: 2023-12-22 | 30 addresses | 3.55 BTC
Wave 180: 2023-12-24 to 2023-12-26 | 71 addresses | 2.41 BTC
Wave 181: 2023-12-29 | 17 addresses | 4.60 BTC
Wave 182: 2024-01-01 to 2024-01-07 | 281 addresses | 45.65 BTC
Wave 183: 2024-01-09 to 2024-01-16 | 362 addresses | 23.98 BTC
Wave 184: 2024-01-19 to 2024-01-22 | 216 addresses | 21.29 BTC
Wave 185: 2024-01-24 to 2024-01-26 | 98 addresses | 7.20 BTC
Wave 186: 2024-01-28 to 2024-01-31 | 103 addresses | 12.36 BTC
Wave 187: 2024-02-02 to 2024-02-13 | 303 addresses | 77.15 BTC
Wave 188: 2024-02-15 to 2024-02-18 | 190 addresses | 23.05 BTC
Wave 189: 2024-02-22 | 16 addresses | 0.36 BTC
Wave 190: 2024-02-24 to 2024-03-01 | 271 addresses | 46.44 BTC
Wave 191: 2024-03-04 to 2024-03-08 | 88 addresses | 54.90 BTC
Wave 192: 2024-03-10 to 2024-03-19 | 248 addresses | 77.28 BTC
Wave 193: 2024-03-22 | 10 addresses | 1.34 BTC
Wave 194: 2024-03-24 to 2024-03-31 | 250 addresses | 30.57 BTC
Wave 195: 2024-04-02 | 18 addresses | 1.60 BTC
Wave 196: 2024-04-04 to 2024-04-05 | 68 addresses | 19.11 BTC
Wave 197: 2024-04-07 | 35 addresses | 2.58 BTC
Wave 198: 2024-04-13 to 2024-04-14 | 36 addresses | 10.20 BTC
Wave 199: 2024-04-16 | 64 addresses | 9.59 BTC
Wave 200: 2024-04-19 | 26 addresses | 10.90 BTC
Wave 201: 2024-04-22 to 2024-04-25 | 92 addresses | 27.10 BTC
Wave 202: 2024-04-27 to 2024-05-03 | 369 addresses | 40.17 BTC
Wave 203: 2024-05-08 to 2024-05-14 | 187 addresses | 50.28 BTC
Wave 204: 2024-05-16 | 19 addresses | 1.31 BTC
Wave 205: 2024-05-18 to 2024-05-22 | 103 addresses | 102.64 BTC
Wave 206: 2024-05-26 | 12 addresses | 3.63 BTC
Wave 207: 2024-05-29 | 17 addresses | 1.29 BTC
Wave 208: 2024-06-03 to 2024-06-06 | 69 addresses | 130.38 BTC
Wave 209: 2024-06-09 | 18 addresses | 0.96 BTC
Wave 210: 2024-06-11 | 12 addresses | 0.34 BTC
Wave 211: 2024-06-13 to 2024-06-14 | 60 addresses | 14.73 BTC
Wave 212: 2024-06-17 | 24 addresses | 3.85 BTC
Wave 213: 2024-06-19 | 35 addresses | 4.82 BTC
Wave 214: 2024-06-23 to 2024-06-24 | 25 addresses | 5.05 BTC
Wave 215: 2024-06-26 to 2024-06-27 | 37 addresses | 41.00 BTC
Wave 216: 2024-06-30 to 2024-07-01 | 51 addresses | 49.81 BTC
Wave 217: 2024-07-05 to 2024-07-06 | 30 addresses | 28.45 BTC
Wave 218: 2024-07-10 | 10 addresses | 9.91 BTC
Wave 219: 2024-07-13 | 14 addresses | 2.53 BTC
Wave 220: 2024-07-16 to 2024-07-17 | 40 addresses | 21.54 BTC
Wave 221: 2024-07-21 | 14 addresses | 9.51 BTC
Wave 222: 2024-07-25 | 38 addresses | 0.83 BTC
Wave 223: 2024-07-27 to 2024-07-28 | 21 addresses | 2.26 BTC
Wave 224: 2024-07-30 to 2024-07-31 | 21 addresses | 17.71 BTC
Wave 225: 2024-08-05 to 2024-08-06 | 64 addresses | 57.28 BTC
Wave 226: 2024-08-08 | 12 addresses | 19.05 BTC
Wave 227: 2024-08-12 | 21 addresses | 1.57 BTC
Wave 228: 2024-08-14 to 2024-08-18 | 106 addresses | 33.40 BTC
Wave 229: 2024-08-21 to 2024-08-22 | 34 addresses | 3.06 BTC
Wave 230: 2024-08-24 to 2024-08-25 | 31 addresses | 15.61 BTC
Wave 231: 2024-08-28 | 10 addresses | 1.24 BTC
Wave 232: 2024-08-31 | 12 addresses | 3.85 BTC
Wave 233: 2024-09-04 to 2024-09-06 | 91 addresses | 24.72 BTC
Wave 234: 2024-09-09 | 13 addresses | 0.55 BTC
Wave 235: 2024-09-15 to 2024-09-16 | 48 addresses | 5.44 BTC
Wave 236: 2024-09-19 to 2024-09-21 | 35 addresses | 6.08 BTC
Wave 237: 2024-09-24 to 2024-09-27 | 66 addresses | 11.24 BTC
Wave 238: 2024-09-29 | 15 addresses | 2.14 BTC
Wave 239: 2024-10-02 | 34 addresses | 6.71 BTC
Wave 240: 2024-10-04 | 21 addresses | 0.96 BTC
Wave 241: 2024-10-06 | 25 addresses | 2.42 BTC
Wave 242: 2024-10-08 | 13 addresses | 2.46 BTC
Wave 243: 2024-10-12 | 17 addresses | 0.95 BTC
Wave 244: 2024-10-14 to 2024-10-15 | 44 addresses | 2.54 BTC
Wave 245: 2024-10-20 | 13 addresses | 1.56 BTC
Wave 246: 2024-10-26 to 2024-10-30 | 122 addresses | 12.39 BTC
Wave 247: 2024-11-02 to 2024-11-04 | 209 addresses | 6.62 BTC
Wave 248: 2024-11-07 | 43 addresses | 16.29 BTC
Wave 249: 2024-11-09 to 2024-11-12 | 89 addresses | 27.33 BTC
Wave 250: 2024-11-14 to 2024-11-16 | 59 addresses | 11.65 BTC
Wave 251: 2024-11-18 | 15 addresses | 5.87 BTC
Wave 252: 2024-11-21 to 2024-11-27 | 177 addresses | 121.47 BTC
Wave 253: 2024-11-29 | 11 addresses | 6.74 BTC
Wave 254: 2024-12-01 | 13 addresses | 10.52 BTC
Wave 255: 2024-12-03 to 2024-12-05 | 43 addresses | 48.94 BTC
Wave 256: 2024-12-08 | 24 addresses | 7.07 BTC
Wave 257: 2024-12-10 to 2024-12-11 | 43 addresses | 31.42 BTC
Wave 258: 2024-12-14 to 2024-12-15 | 24 addresses | 1.07 BTC
Wave 259: 2024-12-18 to 2024-12-21 | 70 addresses | 8.49 BTC
Wave 260: 2024-12-23 | 12 addresses | 3.55 BTC
Wave 261: 2024-12-27 | 27 addresses | 0.52 BTC
Wave 262: 2024-12-31 to 2025-01-03 | 63 addresses | 21.05 BTC
Wave 263: 2025-01-06 | 15 addresses | 9.68 BTC
Wave 264: 2025-01-08 to 2025-01-09 | 108 addresses | 78.31 BTC
Wave 265: 2025-01-14 to 2025-01-15 | 63 addresses | 12.85 BTC
Wave 266: 2025-01-17 | 13 addresses | 4.59 BTC
Wave 267: 2025-01-19 to 2025-01-20 | 25 addresses | 5.73 BTC
Wave 268: 2025-01-22 to 2025-01-25 | 66 addresses | 39.60 BTC
Wave 269: 2025-01-27 | 21 addresses | 2.70 BTC
Wave 270: 2025-01-29 to 2025-01-30 | 23 addresses | 3.34 BTC
Wave 271: 2025-02-01 to 2025-02-06 | 165 addresses | 58.47 BTC
Wave 272: 2025-02-10 | 23 addresses | 5.20 BTC
Wave 273: 2025-02-13 | 11 addresses | 0.68 BTC
Wave 274: 2025-02-15 to 2025-02-16 | 28 addresses | 7.88 BTC
Wave 275: 2025-02-20 to 2025-02-22 | 251 addresses | 9.58 BTC
Wave 276: 2025-02-24 to 2025-03-02 | 186 addresses | 91.26 BTC
Wave 277: 2025-03-07 | 13 addresses | 0.73 BTC
Wave 278: 2025-03-09 to 2025-03-11 | 47 addresses | 3.00 BTC
Wave 279: 2025-03-18 | 11 addresses | 7.17 BTC
Wave 280: 2025-03-20 | 17 addresses | 2.40 BTC
Wave 281: 2025-03-24 | 30 addresses | 3.86 BTC
Wave 282: 2025-03-28 | 25 addresses | 8.52 BTC
Wave 283: 2025-03-31 | 35 addresses | 19.96 BTC
Wave 284: 2025-04-02 to 2025-04-03 | 192 addresses | 16.78 BTC
Wave 285: 2025-04-06 to 2025-04-07 | 29 addresses | 4.41 BTC
Wave 286: 2025-04-10 | 11 addresses | 30.25 BTC
Wave 287: 2025-04-12 | 17 addresses | 3.94 BTC
Wave 288: 2025-04-21 to 2025-04-23 | 84 addresses | 14.62 BTC
Wave 289: 2025-05-02 to 2025-05-03 | 34 addresses | 5.64 BTC
Wave 290: 2025-05-06 to 2025-05-11 | 89 addresses | 80.32 BTC
Wave 291: 2025-05-13 | 14 addresses | 2.02 BTC
Wave 292: 2025-05-15 | 19 addresses | 0.88 BTC
Wave 293: 2025-05-19 | 12 addresses | 0.27 BTC
Wave 294: 2025-05-21 to 2025-05-22 | 27 addresses | 43.39 BTC
Wave 295: 2025-05-26 | 14 addresses | 0.94 BTC
Wave 296: 2025-05-30 to 2025-06-04 | 188 addresses | 23.43 BTC
Wave 297: 2025-06-06 | 11 addresses | 0.57 BTC
Wave 298: 2025-06-09 | 24 addresses | 2.33 BTC
Wave 299: 2025-06-11 to 2025-06-13 | 60 addresses | 22.34 BTC
Wave 300: 2025-06-21 | 13 addresses | 12.74 BTC
Wave 301: 2025-06-24 to 2025-06-25 | 23 addresses | 9.21 BTC
Wave 302: 2025-06-28 to 2025-07-03 | 145 addresses | 61.12 BTC
Wave 303: 2025-07-05 | 12 addresses | 5.43 BTC
Wave 304: 2025-07-07 | 74 addresses | 2.46 BTC
Wave 305: 2025-07-09 | 21 addresses | 25.99 BTC
Wave 306: 2025-07-11 | 52 addresses | 7.14 BTC
Wave 307: 2025-07-13 to 2025-07-14 | 21 addresses | 35.86 BTC
Wave 308: 2025-07-16 to 2025-07-20 | 94 addresses | 22.80 BTC
Wave 309: 2025-07-28 | 11 addresses | 3.07 BTC
Wave 310: 2025-08-01 to 2025-08-03 | 44 addresses | 126.23 BTC
Wave 311: 2025-08-05 | 11 addresses | 3.02 BTC
Wave 312: 2025-08-08 | 12 addresses | 0.42 BTC
Wave 313: 2025-08-11 | 52 addresses | 2.01 BTC
Wave 314: 2025-08-13 to 2025-08-14 | 31 addresses | 10.34 BTC
Wave 315: 2025-08-20 | 26 addresses | 6.90 BTC
Wave 316: 2025-08-23 | 23 addresses | 7.61 BTC
Wave 317: 2025-09-01 to 2025-09-03 | 33 addresses | 2.89 BTC
Wave 318: 2025-09-06 | 13 addresses | 0.40 BTC
Wave 319: 2025-09-10 | 11 addresses | 2.45 BTC
Wave 320: 2025-09-13 | 10 addresses | 6.40 BTC
Wave 321: 2025-09-16 | 11 addresses | 4.13 BTC
Wave 322: 2025-09-18 to 2025-09-19 | 33 addresses | 5.45 BTC
Wave 323: 2025-09-26 to 2025-10-02 | 168 addresses | 28.18 BTC
Wave 324: 2025-10-10 to 2025-10-11 | 52 addresses | 2.20 BTC
Wave 325: 2025-10-14 | 10 addresses | 12.36 BTC
Wave 326: 2025-10-26 to 2025-10-27 | 59 addresses | 3.85 BTC
Wave 327: 2025-10-30 to 2025-11-01 | 52 addresses | 8.53 BTC
Wave 328: 2025-11-03 to 2025-11-05 | 38 addresses | 3.82 BTC
Wave 329: 2025-11-10 | 10 addresses | 0.44 BTC
Wave 330: 2025-11-12 | 11 addresses | 0.17 BTC
Wave 331: 2025-11-15 | 10 addresses | 54.52 BTC
Wave 332: 2025-11-18 | 19 addresses | 11.57 BTC
Wave 333: 2025-11-21 | 63 addresses | 53.69 BTC
Wave 334: 2025-11-26 to 2025-11-28 | 27 addresses | 5.64 BTC
Wave 335: 2025-12-03 | 11 addresses | 3.60 BTC
Wave 336: 2025-12-30 | 20 addresses | 0.87 BTC
Wave 337: 2026-01-10 | 11 addresses | 4.31 BTC
Wave 338: 2026-01-16 | 17 addresses | 2.65 BTC
Wave 339: 2026-01-26 | 12 addresses | 5.50 BTC
Wave 340: 2026-01-30 to 2026-02-01 | 78 addresses | 16.35 BTC
Wave 341: 2026-02-03 | 21 addresses | 0.57 BTC
Wave 342: 2026-02-05 to 2026-02-06 | 110 addresses | 40.79 BTC
Wave 343: 2026-02-18 | 13 addresses | 4.84 BTC
Wave 344: 2026-02-20 | 11 addresses | 0.34 BTC
Wave 345: 2026-02-23 | 12 addresses | 7.51 BTC
Wave 346: 2026-03-04 | 16 addresses | 6.12 BTC
Wave 347: 2026-03-06 | 19 addresses | 2.57 BTC
Wave 348: 2026-03-16 | 30 addresses | 2.87 BTC
Wave 349: 2026-03-22 | 10 addresses | 1.58 BTC
Wave 350: 2026-03-31 | 11 addresses | 4.35 BTC
Wave 351: 2026-04-08 | 12 addresses | 7.29 BTC
Wave 352: 2026-04-10 | 41 addresses | 0.42 BTC
Wave 353: 2026-04-12 | 19 addresses | 7.83 BTC
Wave 354: 2026-04-14 to 2026-04-17 | 421 addresses | 22.45 BTC
Wave 355: 2026-04-24 | 12 addresses | 3.47 BTC
Wave 356: 2026-04-29 | 11 addresses | 2.16 BTC
Wave 357: 2026-05-05 to 2026-05-06 | 25 addresses | 3.55 BTC
Wave 358: 2026-05-08 | 12 addresses | 0.20 BTC
Wave 359: 2026-05-15 | 11 addresses | 0.37 BTC
Wave 360: 2026-05-18 to 2026-05-19 | 78 addresses | 14.44 BTC
Wave 361: 2026-06-02 to 2026-06-04 | 57 addresses | 10.76 BTC
Wave 362: 2026-06-16 to 2026-06-18 | 162 addresses | 43.90 BTC
Wave 363: 2026-06-22 to 2026-06-23 | 29 addresses | 0.84 BTC
Wave 364: 2026-06-30 | 17 addresses | 4.66 BTC
Wave 365: 2026-07-05 | 19 addresses | 9.07 BTC
Wave 366: 2026-07-16 | 13 addresses | 0.55 BTC
Wave 367: 2026-07-22 | 10 addresses | 0.37 BTC
Wave 368: 2026-07-30 to 2026-08-02 | 10802 addresses | 2136.34 BTC

DAILY DRAIN BREAKDOWN
----------------------------------------------------------------------------------------------------
Date             Total          BTC      Cum.BTC
----------------------------------------------------------------------------------------------------
2021-03-20           3         0.00         0.00
2021-03-22           2         0.09         0.09
2021-03-25           1         0.00         0.10
2021-03-26           2         0.31         0.40
2021-03-27           2         0.00         0.41
2021-03-28           2         0.00         0.41
2021-03-29           1         0.00         0.41
2021-03-30           1         0.00         0.41
2021-04-02           2         3.93         4.34
2021-04-03           7         0.20         4.53
2021-04-05           5         1.74         6.27
2021-04-06           1         0.22         6.50
2021-04-07           1         0.00         6.50
2021-04-08           1         0.01         6.51
2021-04-09           1         0.01         6.52
2021-04-10           2         0.00         6.52
2021-04-14           3         0.00         6.52
2021-04-15           1         0.01         6.53
2021-04-16           1         0.01         6.54
2021-04-19           1         0.01         6.55
2021-04-22           2         0.01         6.56
2021-04-23           5         5.99        12.54
2021-04-26           4         1.18        13.73
2021-04-27           7         0.14        13.86
2021-04-29           2         1.18        15.04
2021-04-30           8         1.58        16.62
2021-05-01           3         0.01        16.63
2021-05-02           1         0.20        16.83
2021-05-03           5         4.21        21.04
